brand,url
alfa-romeo,https://www.carlist.my/used-cars-for-sale/alfa-romeo/malaysia?page_size=25&page_number=1
auman,https://www.carlist.my/used-cars-for-sale/auman/malaysia?page_size=25&page_number=1
austin,https://www.carlist.my/used-cars-for-sale/austin/malaysia?page_size=25&page_number=1
bison,https://www.carlist.my/used-cars-for-sale/bison/malaysia?page_size=25&page_number=1
cardilac,https://www.carlist.my/used-cars-for-sale/cadillac/malaysia?page_size=25&page_number=1
chery,https://www.carlist.my/used-cars-for-sale/chery/malaysia?page_size=25&page_number=1
chevrolet,https://www.carlist.my/used-cars-for-sale/chevrolet/malaysia?page_size=25&page_number=1
dodge,https://www.carlist.my/used-cars-for-sale/dodge/malaysia?page_size=25&page_number=1
fiat,https://www.carlist.my/used-cars-for-sale/fiat/malaysia?page_size=25&page_number=1
jmc,https://www.carlist.my/used-cars-for-sale/jmc/malaysia?page_size=25&page_number=1
king-long,https://www.carlist.my/used-cars-for-sale/king-long/malaysia?page_size=25&page_number=1
mercedes-maybach,https://www.carlist.my/used-cars-for-sale/mercedes-maybach/malaysia?page_size=25&page_number=1
mgc,https://www.carlist.my/used-cars-for-sale/mgc/malaysia?page_size=25&page_number=1
mitsuoka,https://www.carlist.my/used-cars-for-sale/mitsuoka/malaysia?page_size=25&page_number=1
neta,https://www.carlist.my/used-cars-for-sale/neta/malaysia?page_size=25&page_number=1
rover,https://www.carlist.my/used-cars-for-sale/rover/malaysia?page_size=25&page_number=1
shenyang-brilliance,https://www.carlist.my/used-cars-for-sale/shenyang-brilliance/malaysia?page_size=25&page_number=1
ssangyong,https://www.carlist.my/used-cars-for-sale/ssangyong/malaysia?page_size=25&page_number=1
ud-trucks,https://www.carlist.my/used-cars-for-sale/ud-trucks/malaysia?page_size=25&page_number=1
wald,https://www.carlist.my/used-cars-for-sale/wald/malaysia?page_size=25&page_number=1
weststar,https://www.carlist.my/used-cars-for-sale/weststar/malaysia?page_size=25&page_number=1